good.bad  checking  duration  history  purpose  amount  savings  employed  installp  martial  coapp  resident  property  age  other  housing  existcr  job  depends  telephon  foreign
1 2 9.00 5 3 1919.00 1 4 4.00 3 1 3.00 3 35.00 3 1 1.00 3 1.00 2 1 
2 1 18.00 3 1 1216.00 1 2 4.00 2 1 3.00 3 23.00 3 1 1.00 3 1.00 2 1 
1 4 6.00 5 4 1382.00 1 3 1.00 2 1 1.00 3 28.00 3 2 2.00 3 1.00 2 1 
1 4 12.00 3 1 1101.00 1 3 3.00 4 1 2.00 1 27.00 3 2 2.00 3 1.00 2 1 
1 1 18.00 3 1 2249.00 2 4 4.00 3 1 3.00 3 30.00 3 2 1.00 4 2.00 2 1 
1 4 36.00 5 2 10477.00 5 5 2.00 3 1 4.00 4 42.00 3 3 2.00 3 1.00 1 1 
1 2 18.00 3 4 1113.00 1 3 4.00 2 3 4.00 1 26.00 3 2 1.00 2 2.00 1 1 
2 1 40.00 5 7 5998.00 1 3 4.00 3 1 3.00 4 27.00 1 2 1.00 3 1.00 2 1 
1 4 12.00 3 1 2133.00 5 5 4.00 2 1 4.00 4 52.00 3 3 1.00 4 1.00 2 1 
1 2 26.00 3 2 7966.00 1 2 2.00 3 1 3.00 3 30.00 3 2 2.00 3 1.00 1 1 
1 1 24.00 3 3 1747.00 1 2 4.00 3 2 1.00 2 24.00 3 2 1.00 2 1.00 1 2 
1 4 6.00 3 1 672.00 1 1 1.00 2 1 4.00 1 54.00 3 2 1.00 1 1.00 2 1 
1 4 18.00 3 1 1820.00 1 3 2.00 4 1 2.00 2 30.00 3 2 1.00 4 1.00 2 1 
1 2 12.00 5 5 1424.00 1 4 4.00 3 1 3.00 2 26.00 3 2 1.00 3 1.00 1 1 
1 1 12.00 2 8 339.00 1 5 4.00 4 1 1.00 3 45.00 1 2 1.00 2 1.00 1 1 
1 3 12.00 3 4 1297.00 1 3 3.00 4 1 4.00 1 23.00 3 1 1.00 3 1.00 1 1 
1 2 48.00 4 9 6681.00 5 3 4.00 3 1 4.00 4 38.00 3 3 1.00 3 2.00 2 1 
1 1 12.00 3 7 1200.00 5 3 4.00 2 1 4.00 2 23.00 1 1 1.00 3 1.00 2 1 
1 2 6.00 3 4 484.00 1 4 3.00 4 3 3.00 1 28.00 1 2 1.00 2 1.00 1 1 
1 4 12.00 3 1 3527.00 5 2 2.00 3 1 3.00 2 45.00 3 2 1.00 4 2.00 2 1 
2 1 12.00 3 3 7865.00 1 5 4.00 3 1 4.00 4 53.00 3 3 1.00 4 1.00 2 1 
1 2 12.00 3 9 841.00 2 4 2.00 2 1 4.00 1 23.00 3 1 1.00 2 1.00 1 1 
1 4 24.00 5 1 1287.00 4 5 4.00 2 1 4.00 1 37.00 3 2 2.00 3 1.00 2 1 
1 1 12.00 3 3 1262.00 5 5 2.00 1 1 4.00 2 49.00 3 2 1.00 2 1.00 2 1 
2 2 18.00 5 1 884.00 1 5 4.00 3 1 4.00 3 36.00 1 2 1.00 3 2.00 2 1 
2 1 36.00 3 1 1842.00 1 2 4.00 2 1 4.00 3 34.00 3 2 1.00 3 1.00 2 1 
1 1 24.00 3 3 3149.00 1 2 4.00 3 1 1.00 4 22.00 1 3 1.00 3 1.00 1 1 
